date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2019-07-28,111.5,,Zamboanga del Sur,PHL,2021-01-10
2019-08-04,105.41666666666667,,Zamboanga del Sur,PHL,2021-01-10
2019-08-11,99.33333333333334,,Zamboanga del Sur,PHL,2021-01-10
2019-08-18,93.25,,Zamboanga del Sur,PHL,2021-01-10
2019-08-25,87.16666666666667,,Zamboanga del Sur,PHL,2021-01-10
2019-09-01,81.08333333333334,,Zamboanga del Sur,PHL,2021-01-10
2019-09-08,75.0,,Zamboanga del Sur,PHL,2021-01-10
2019-09-15,81.0,,Zamboanga del Sur,PHL,2021-01-10
2019-09-22,67.0,,Zamboanga del Sur,PHL,2021-01-10
2019-09-29,42.0,,Zamboanga del Sur,PHL,2021-01-10
2019-10-06,32.0,,Zamboanga del Sur,PHL,2021-01-10
2019-10-13,40.0,,Zamboanga del Sur,PHL,2021-01-10
2019-10-20,58.0,,Zamboanga del Sur,PHL,2021-01-10
2019-10-27,29.0,,Zamboanga del Sur,PHL,2021-01-10
2019-11-03,45.0,,Zamboanga del Sur,PHL,2021-01-10
2019-11-10,21.0,,Zamboanga del Sur,PHL,2021-01-10
2019-11-17,24.0,,Zamboanga del Sur,PHL,2021-01-10
2019-11-24,21.0,,Zamboanga del Sur,PHL,2021-01-10
2019-12-01,37.0,,Zamboanga del Sur,PHL,2021-01-10
2019-12-08,20.0,,Zamboanga del Sur,PHL,2021-01-10
2019-12-15,18.0,,Zamboanga del Sur,PHL,2021-01-10
2019-12-22,22.0,,Zamboanga del Sur,PHL,2021-01-10
2019-12-29,27.0,,Zamboanga del Sur,PHL,2021-01-10
2020-01-05,19.0,,Zamboanga del Sur,PHL,2021-01-10
2020-01-12,13.0,,Zamboanga del Sur,PHL,2021-01-10
2020-01-19,18.0,,Zamboanga del Sur,PHL,2021-01-10
2020-01-26,19.0,,Zamboanga del Sur,PHL,2021-01-10
2020-02-02,18.0,,Zamboanga del Sur,PHL,2021-01-10
2020-02-09,9.0,,Zamboanga del Sur,PHL,2021-01-10
